student_id,first_name,age,gender,grade,math_score,english_score,attendance_percentage,email,city
S1000,Joy,19.0,Male,9,61.0,73.0,60.37,sharon52@example.com,Port James
S1001,Donna,18.0,,12,54.0,52.0,87.91,,New Frederickfort
S1002,,17.0,Male,,43.0,98.0,,cookbrandi@example.net,
S1003,Matthew,15.0,Male,10,65.0,42.0,69.35,,Harringtonton
S1004,David,19.0,,12,,94.0,83.86,gcampbell@example.com,North Charles
S1005,John,19.0,Male,11,75.0,43.0,97.13,curtis60@example.net,West Susanmouth
,Leah,19.0,Male,10,55.0,42.0,61.38,fmorales@example.net,
S1007,Heather,20.0,Male,9,61.0,,66.77,cassidy06@example.com,Karenshire
,Tyler,16.0,Female,11,71.0,99.0,70.74,christopherhanna@example.net,West Cody
,Jenna,21.0,,10,58.0,41.0,66.01,carterellen@example.com,New Theresa
S1010,Ryan,17.0,Female,10,65.0,48.0,72.04,williecantu@example.net,New Scottbury
S1011,Barbara,21.0,Male,12,74.0,55.0,76.24,anthony33@example.com,South Paulside
S1012,Melinda,,Female,12,54.0,78.0,96.36,hlowe@example.net,Emilyside
S1013,Jennifer,18.0,Female,11,92.0,88.0,73.26,brian29@example.com,South Karen
S1014,Kelly,16.0,Male,11,53.0,41.0,63.86,jchan@example.org,South Jasontown
,Raymond,18.0,,11,90.0,,80.15,christophergarza@example.net,Nicholasfurt
S1016,Mary,16.0,Male,10,,95.0,62.7,gregoryrachel@example.com,Port Brianview
,Stephanie,,Female,,78.0,94.0,88.59,kurt15@example.org,New Shelbyshire
S1018,Stephanie,21.0,Female,10,,86.0,90.81,afernandez@example.com,North Maryborough
S1019,Diane,19.0,Male,9,43.0,93.0,70.02,jill94@example.org,Gonzalezfurt
S1020,Sheila,18.0,Male,12,68.0,40.0,96.29,qsmith@example.net,Lorishire
S1021,Daniel,16.0,Male,9,68.0,57.0,,yknight@example.com,Schmidthaven
S1022,,19.0,Male,,,,,sanderschristopher@example.com,
S1023,Michael,20.0,Male,10,61.0,47.0,67.52,sbowen@example.net,Claytonshire
S1024,Jaclyn,21.0,Female,12,78.0,43.0,,eddiediaz@example.net,
S1025,Benjamin,16.0,Male,11,41.0,44.0,93.44,vhernandez@example.org,New Christine
S1026,Madison,20.0,Male,10,68.0,62.0,,chadkennedy@example.com,North Michaelborough
S1027,Jared,,Female,12,,61.0,77.79,laura49@example.net,Fergusonmouth
S1028,Sheila,18.0,Female,11,52.0,54.0,77.12,,Port Tina
S1029,Kristine,15.0,Male,9,58.0,62.0,87.53,chenjohn@example.com,Rachelside
S1030,,
S1031,,21.0,,12,53.0,72.0,99.28,carla77@example.com,North Jacquelinechester
S1032,Robert,19.0,,10,,45.0,71.24,grossdavid@example.com,
S1033,Cody,18.0,Male,10,44.0,55.0,75.79,collinsannette@example.net,West Angelicaland
S1034,Melissa,,Female,11,64.0,98.0,85.96,danielyoung@example.org,Richardshire
S1035,John,,Male,12,87.0,91.0,83.12,marshchristopher@example.net,North Malloryborough
S1036,Christopher,15.0,Female,,98.0,97.0,70.37,,Port Tomtown
S1037,Thomas,20.0,Male,10,99.0,,61.0,shirley85@example.net,North Mackenziehaven
S1038,,20.0,Male,10,92.0,90.0,64.26,ramosjamie@example.com,Edwardborough
S1039,Jacob,,Male,9,,73.0,70.01,yfritz@example.org,West Matthewtown
S1040,Jacqueline,18.0,Male,,53.0,69.0,70.32,wbartlett@example.com,West Sean
S1041,Michael,21.0,Female,11,46.0,82.0,96.27,kevinrodriguez@example.com,New Nicoleville
S1042,David,16.0,Female,12,76.0,,78.92,moorebrianna@example.org,Edwardsmouth
S1043,Barry,18.0,Female,9,46.0,,,rasmussenphillip@example.net,Lake Alexismouth
S1044,Katie,21.0,Female,11,89.0,56.0,81.65,graysusan@example.org,Rasmussenshire
S1045,,18.0,Male,12,60.0,95.0,63.64,butlerashley@example.com,Edwardshaven
S1046,,19.0,,12,42.0,52.0,89.72,,Port Brentfort
S1047,Tara,,Female,10,,91.0,86.56,angelagarcia@example.com,Elizabethmouth
,,18.0,Male,9,51.0,89.0,,keithgarcia@example.net,Port Elizabethburgh
S1049,Geoffrey,20.0,Male,12,84.0,46.0,82.84,,North Juliefurt
